ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.9436500262932176	0.9045103780443784	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.7282167557866256	0.5907648345083446	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.8514153515141643	0.7859197233768234	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.8665853917438382	0.8275546470706675	Disorder_Bipolar.Disorder_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.8035012877014357	0.7374987458598993	Disorder_Bipolar.Disorder_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9862515028446704	0.9713983484416656	Disorder_Bipolar.Disorder_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.9038410351070696	0.7788445046560089	Disorder_Bipolar.Disorder_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.9395190576272464	0.8708169131225146	Disorder_Bipolar.Disorder_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.9821471187721498	0.9551905821788552	Disorder_Bipolar.Disorder_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.4935013763367818	0.272970757508043	Disorder_Bipolar.Disorder_vs_Control
microglial.cell	Micro	0.9308747333491412	0.818831348873828	Disorder_Bipolar.Disorder_vs_Control
microglial.cell	Immune	0.4441427654143877	0.2801391786978235	Disorder_Bipolar.Disorder_vs_Control
oligodendrocyte	Oligo	0.9483539362604856	0.9440065187050356	Disorder_Bipolar.Disorder_vs_Control
astrocyte	Astro	0.9899575816479492	0.97596782476097	Disorder_Bipolar.Disorder_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.9881977496165132	0.9803892592526642	Disorder_Bipolar.Disorder_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.9461595482973814	0.8533020754023132	Disorder_Bipolar.Disorder_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.991057234481716	0.9771206957282228	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L5_ET	0.715572256300783	0.5073883924711247	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L6_CT	0.8827554812491434	0.7473164004055746	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L5.6_NP	0.8360811372074768	0.6719580937523361	Disorder_Bipolar.Disorder_vs_Control
deep.layer.non.IT	L6b	0.9005536209527598	0.7845569224538458	Disorder_Bipolar.Disorder_vs_Control
oligodendrocyte.precursor.cell	OPC	0.9908181403008528	0.9835314457556326	Disorder_Bipolar.Disorder_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.9028285677497712	0.8267556073409189	Disorder_Bipolar.Disorder_vs_Control
vascular	VLMC	0.2472501104875564	0.2979675790090713	Disorder_Bipolar.Disorder_vs_Control
vascular	Endo	0.7733183320247033	0.7266730379998203	Disorder_Bipolar.Disorder_vs_Control
vascular	PC	0.8487484394117364	0.8100091934949171	Disorder_Bipolar.Disorder_vs_Control
vascular	SMC	0.5311056729065267	0.4318120000021216	Disorder_Bipolar.Disorder_vs_Control
