ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue	contrast
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	0.9044888046390714	0.9061819061641292	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.6691854021301629	0.6100494726350997	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.8954676438660825	0.8724366977416177	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.8589365742738116	0.8455519017705847	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.7113826974648982	0.7244933747027084	Disorder_Williams.Syndrome_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	0.9518169464020948	0.930500588540734	Disorder_Williams.Syndrome_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.8377933189329645	0.8088530369373402	Disorder_Williams.Syndrome_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	0.8543913857239028	0.8391528607290106	Disorder_Williams.Syndrome_vs_Control
sst.GABAergic.cortical.interneuron	Sst	0.9432211528797568	0.9079249486821688	Disorder_Williams.Syndrome_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.4198768768063421	0.3624771261462369	Disorder_Williams.Syndrome_vs_Control
microglial.cell	Micro	0.8681451243257036	0.7842466747563733	Disorder_Williams.Syndrome_vs_Control
microglial.cell	Immune	0.6179703027320206	0.5576612489315852	Disorder_Williams.Syndrome_vs_Control
oligodendrocyte	Oligo	0.9766625863042572	0.9426894462658604	Disorder_Williams.Syndrome_vs_Control
astrocyte	Astro	0.9756789374216474	0.9721994620911024	Disorder_Williams.Syndrome_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	0.931572945175934	0.9397445017615644	Disorder_Williams.Syndrome_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	0.6878482324708182	0.5415674695915936	Disorder_Williams.Syndrome_vs_Control
vip.GABAergic.cortical.interneuron	Vip	0.9630831038226046	0.9492971984628218	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L5_ET	0.0135598648258687	0.2826309854316178	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L6_CT	0.7455560574937904	0.7390293400719149	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L5.6_NP	0.7320568707702256	0.7237985977264644	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L6b	0.6998527544041256	0.7580535662106636	Disorder_Williams.Syndrome_vs_Control
oligodendrocyte.precursor.cell	OPC	0.9832256871194552	0.9797816914150193	Disorder_Williams.Syndrome_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	0.8453121103135264	0.8109009183308679	Disorder_Williams.Syndrome_vs_Control
vascular	VLMC	0.4133108397251244	0.2426899377689956	Disorder_Williams.Syndrome_vs_Control
vascular	Endo	0.8373762518995119	0.6519644276792379	Disorder_Williams.Syndrome_vs_Control
vascular	PC	0.8038578576118508	0.661509182635925	Disorder_Williams.Syndrome_vs_Control
vascular	SMC	0.7543120765449068	0.4537795000806883	Disorder_Williams.Syndrome_vs_Control
