ct_sc_pipeline	ct_author	percent_overlap	contrast
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	74.96570644718793	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	23.86767002697714	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	76.16511318242344	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	74.30740037950665	Disorder_Williams.Syndrome_vs_Control
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	57.0819453697535	Disorder_Williams.Syndrome_vs_Control
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	56.830601092896174	Disorder_Williams.Syndrome_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	41.531664212076585	Disorder_Williams.Syndrome_vs_Control
lamp5.GABAergic.cortical.interneuron	Lamp5	50.690406976744185	Disorder_Williams.Syndrome_vs_Control
sst.GABAergic.cortical.interneuron	Sst	72.28915662650603	Disorder_Williams.Syndrome_vs_Control
sst.GABAergic.cortical.interneuron	Sst_Chodl	9.646643109540635	Disorder_Williams.Syndrome_vs_Control
microglial.cell	Micro	19.047619047619047	Disorder_Williams.Syndrome_vs_Control
microglial.cell	Immune	31.77570093457944	Disorder_Williams.Syndrome_vs_Control
oligodendrocyte	Oligo	82.37577639751552	Disorder_Williams.Syndrome_vs_Control
astrocyte	Astro	85.0541215653622	Disorder_Williams.Syndrome_vs_Control
pvalb.GABAergic.cortical.interneuron	Pvalb	83.476108890158	Disorder_Williams.Syndrome_vs_Control
PAX6.GABAergic.cortical.interneuron	Pax6	22.81303602058319	Disorder_Williams.Syndrome_vs_Control
vip.GABAergic.cortical.interneuron	Vip	82.10710710710711	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L5_ET	0.0	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L6_CT	28.55116155346693	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L5.6_NP	44.49810279406692	Disorder_Williams.Syndrome_vs_Control
deep.layer.non.IT	L6b	49.41033645508151	Disorder_Williams.Syndrome_vs_Control
oligodendrocyte.precursor.cell	OPC	80.34188034188034	Disorder_Williams.Syndrome_vs_Control
sncg.GABAergic.cortical.interneuron	Sncg	49.10714285714285	Disorder_Williams.Syndrome_vs_Control
vascular	VLMC	0.0	Disorder_Williams.Syndrome_vs_Control
vascular	Endo	24.489795918367346	Disorder_Williams.Syndrome_vs_Control
vascular	PC	4.905437352245863	Disorder_Williams.Syndrome_vs_Control
vascular	SMC	0.0	Disorder_Williams.Syndrome_vs_Control
